element,method,macro_iteration,total_energy_eh,energy_change_eh,orbital_gradient_norm,converged
Cl,dmrg-superci,3,-460.8871982204166,-0.0003412561173377071,0.004198776096279985,False
Cl,dmrg-superci,4,-460.8872034843579,-5.263941261546279e-06,0.0008059722403142122,False
Cl,dmrg-superci,5,-460.88720370273904,-2.1838116026628995e-07,0.00022590435871352286,False
Cl,dmrg-superci,6,-460.8872037170694,-1.4330339581647422e-08,5.80919331188522e-05,False
Cl,dmrg-superci,7,-460.88720371811803,-1.0486473911441863e-09,1.6622729833392575e-05,True
Br,exact-superci,0,-2604.319896588757,,0.2035566191750004,False
Br,exact-superci,1,-2604.3514070086726,-0.031510419915775856,0.07418906128399445,False
Br,exact-superci,2,-2604.357485076128,-0.0060780674552916025,0.026473581484998093,False
Br,exact-superci,3,-2604.357949323729,-0.00046424760103036533,0.004397904780009515,False
Br,exact-superci,4,-2604.3579539011544,-4.577425443130778e-06,0.00039968741465667583,False
Br,exact-superci,5,-2604.357953985291,-8.413644536631182e-08,8.378498911641006e-05,False
Br,exact-superci,6,-2604.357953988483,-3.192326403222978e-09,2.3944361711883068e-05,True
Br,dmrg-superci,0,-2604.319896588757,,0.20355661917500087,False
Br,dmrg-superci,1,-2604.351407008672,-0.03151041991532111,0.0741890612839965,False
Br,dmrg-superci,2,-2604.357485076127,-0.006078067454836855,0.026473581485008682,False
Br,dmrg-superci,3,-2604.3579493237285,-0.0004642476014851127,0.0043979047799383554,False
Br,dmrg-superci,4,-2604.3579539011535,-4.577424988383427e-06,0.0003996874146452282,False
Br,dmrg-superci,5,-2604.357953985291,-8.413735486101359e-08,8.378498912271536e-05,False
Br,dmrg-superci,6,-2604.357953988483,-3.192326403222978e-09,2.3944361700533307e-05,True
I,exact-superci,0,-7111.677498872418,,0.16609738476396327,False
I,exact-superci,1,-7111.70036690597,-0.022868033552185807,0.06238839865339493,False
I,exact-superci,2,-7111.705185783736,-0.004818877765501384,0.024096026073858648,False
I,exact-superci,3,-7111.705648651575,-0.00046286783890536753,0.0036306592257863363,False
I,exact-superci,4,-7111.705653710333,-5.058757778897416e-06,0.00047609842105418956,False
I,exact-superci,5,-7111.705653830766,-1.204334694193676e-07,7.647656679261727e-05,False
I,exact-superci,6,-7111.705653835465,-4.698449629358947e-09,1.5491789986038572e-05,True
I,dmrg-superci,0,-7111.677498872418,,0.16609738476396324,False
I,dmrg-superci,1,-7111.700366905971,-0.0228680335530953,0.06238839865339926,False
I,dmrg-superci,2,-7111.705185783731,-0.0048188777600444155,0.024096026073944787,False
I,dmrg-superci,3,-7111.705648651577,-0.00046286784527183045,0.003630659225915858,False
I,dmrg-superci,4,-7111.705653710339,-5.058762326370925e-06,0.00047609842110444943,False
I,dmrg-superci,5,-7111.705653830764,-1.2042528396705166e-07,7.647656666094117e-05,False
I,dmrg-superci,6,-7111.705653835459,-4.6948116505518556e-09,1.5491790034538137e-05,True
At,exact-superci,0,-22855.595344721947,,0.15647458118659835,False
At,exact-superci,1,-22855.615482397974,-0.02013767602693406,0.057146544546487335,False
At,exact-superci,2,-22855.61969449754,-0.004212099567666883,0.023709534511869586,False
At,exact-superci,3,-22855.620159683203,-0.0004651856615964789,0.003935711410772946,False
At,exact-superci,4,-22855.62016830821,-8.625007467344403e-06,0.0007494342020800104,False
At,exact-superci,5,-22855.620168690366,-3.821551217697561e-07,0.00021154505891494093,False
At,exact-superci,6,-22855.620168716992,-2.6626366889104247e-08,7.890197703700516e-05,False
At,exact-superci,7,-22855.620168719575,-2.582964953035116e-09,3.39425643111227e-05,True
At,dmrg-superci,0,-22855.595344721944,,0.15647458118659835,False
At,dmrg-superci,1,-22855.61548239798,-0.020137676037847996,0.057146544546468496,False
At,dmrg-superci,2,-22855.619694497545,-0.004212099564028904,0.023709534511887585,False
At,dmrg-superci,3,-22855.620159683207,-0.0004651856615964789,0.003935711410892571,False
At,dmrg-superci,4,-22855.62016830821,-8.625003829365596e-06,0.0007494342021595104,False
At,dmrg-superci,5,-22855.620168690366,-3.821551217697561e-07,0.00021154505894831755,False
At,dmrg-superci,6,-22855.62016871698,-2.6615452952682972e-08,7.890197705966571e-05,False
At,dmrg-superci,7,-22855.620168719553,-2.572051016613841e-09,3.394256445608628e-05,True
